prompt_id,seed,tier,DR_R1,DR_R2,DR_R3,dDR_R2_minus_R1,dDR_R3_minus_R1,dDR_R3_minus_R2,realized_dino,clip_dist,pixel_gap
P27H,42,high,0.4179340004920959,0.3229331374168396,0.1207717359066009,-0.0950008630752563,-0.297162264585495,-0.2021614015102386,0.9842872023582458,0.5631046891212463,1.2667279243469238
P27H,43,high,0.3181856870651245,0.2588679790496826,0.1762053221464157,-0.0593177080154418,-0.1419803649187088,-0.0826626569032669,0.9562029838562012,0.585328221321106,1.2645801305770874
P27H,44,high,0.4429912269115448,0.4154629707336426,0.2990035116672516,-0.0275282561779022,-0.1439877152442932,-0.1164594590663909,0.9905967712402344,0.5710816383361816,1.2271840572357178
P28H,42,high,0.3240488171577453,0.303261786699295,0.0940164029598236,-0.0207870304584503,-0.2300324141979217,-0.2092453837394714,1.0035260915756226,0.58359694480896,0.9141878485679626
P28H,43,high,0.2310631871223449,0.3857302665710449,0.2048018127679824,0.1546670794486999,-0.0262613743543624,-0.1809284538030624,0.9866362810134888,0.5986596941947937,0.9346669912338256
P28H,44,high,0.2152128219604492,0.2510140240192413,0.2392262816429138,0.0358012020587921,0.0240134596824646,-0.0117877423763275,1.020148515701294,0.6184862852096558,0.9787381291389464
P28L,42,low,0.3365627825260162,0.283913791179657,0.2567093968391418,-0.0526489913463592,-0.0798533856868743,-0.0272043943405151,0.2094349265098571,0.15849405527114868,1.0797282457351685
P28L,43,low,0.1941225379705429,0.1623940169811248,0.1580564975738525,-0.031728520989418,-0.0360660403966903,-0.0043375194072723,0.2905809879302978,0.18549078702926636,1.1707024574279783
P28L,44,low,0.1310484111309051,0.1563251763582229,0.1644014716148376,0.0252767652273178,0.0333530604839324,0.0080762952566146,0.4684293270111084,0.2506862282752991,1.2830419540405271
P29H,42,high,0.5419955849647522,0.4871563911437988,0.019769687205553,-0.0548391938209533,-0.5222258977591991,-0.4673867039382458,1.0307660102844238,0.6656415462493896,1.0815192461013794
P29H,43,high,0.3929069936275482,0.3804650902748108,0.3467442691326141,-0.0124419033527374,-0.046162724494934,-0.0337208211421966,1.0134745836257937,0.6691194772720337,1.048943281173706
P29H,44,high,0.2886220216751098,0.2386323809623718,0.1896898746490478,-0.049989640712738,-0.098932147026062,-0.0489425063133239,1.0136805772781372,0.6842086315155029,1.1566120386123655
P30H,42,high,0.0523658096790313,0.066800370812416,0.0563894100487232,0.0144345611333847,0.0040236003696918,-0.0104109607636928,1.028456449508667,0.5665619373321533,0.9502676129341124
P30H,43,high,0.1371595114469528,0.1900271028280258,0.2011239230632782,0.052867591381073,0.0639644116163253,0.0110968202352523,1.0186641216278076,0.5853312611579895,0.9266222715377808
P30H,44,high,0.1163506433367729,0.1697548478841781,0.1686132252216339,0.0534042045474052,0.0522625818848609,-0.0011416226625442,0.9644806385040284,0.5096978545188904,0.9242243766784668
