group,cls,clip_id,gini,offline,DR
S-PROBE:R3:high,explosion_1,probe_r3__P05H__s43,0.9090665548768613,0.15357002987815968,0.09083035445070015
S-PROBE:R3:high,explosion_1,probe_r3__P05H__s44,0.8853794121607352,0.175669288253019,0.10055064285207858
S-PROBE:R3:high,explosion_0,probe_r3__P06H__s42,0.8731639500795818,0.2364477829356232,0.27088855578267856
S-PROBE:R3:high,explosion_0,probe_r3__P06H__s43,0.8351926756117498,0.2326695994309165,0.22871606563496136
S-PROBE:R3:high,explosion_0,probe_r3__P06H__s44,0.8314264210994224,0.24253083309283732,0.23641205992129202
S-PROBE:R3:high,plasma_explosion_2,probe_r3__P07H__s42,0.8666605726560892,0.18624443825951076,0.17065871718971387
S-PROBE:R3:high,plasma_explosion_2,probe_r3__P07H__s43,0.8891575572704269,0.21441806115565382,0.17644509220992244
S-PROBE:R3:high,plasma_explosion_2,probe_r3__P07H__s44,0.8570184810853307,0.18763756416875202,0.1922212249724501
S-PROBE:R3:high,point_cloud_1,probe_r3__P08H__s42,0.756491371095793,0.3303187397143423,0.3040997272182872
S-PROBE:R3:high,point_cloud_1,probe_r3__P08H__s43,0.836249169333309,0.3276332234136443,0.24108911239357533
S-PROBE:R3:high,point_cloud_1,probe_r3__P08H__s44,0.8897477223028267,0.15700154430858798,0.12843904104454157
S-PROBE:R3:high,point_cloud_0,probe_r3__P09H__s42,0.9307820861345706,0.1794487384492416,0.1604870249756646
S-PROBE:R3:high,point_cloud_0,probe_r3__P09H__s43,0.8633655528063211,0.18145592150019807,0.16598777045392127
S-PROBE:R3:high,point_cloud_0,probe_r3__P09H__s44,0.7756990080266757,0.27056685596673374,0.13085531276344464
S-PROBE:R3:high,monstrosity_0,probe_r3__P10H__s42,0.7396228270782264,0.2118679136441162,0.17022386255601255
S-PROBE:R3:high,monstrosity_0,probe_r3__P10H__s43,0.7533569775405264,0.22419241211080487,0.17570680766593003
S-PROBE:R3:high,monstrosity_0,probe_r3__P10H__s44,0.7853479675686015,0.21963625708824783,0.18358182768881787
S-PROBE:R3:high,water_element_3,probe_r3__P11H__s42,0.9326687631227886,0.1376793680029748,0.14875398968669679
S-PROBE:R3:high,water_element_3,probe_r3__P11H__s43,0.81253488875466,0.2460282474004773,0.14282100683444282
S-PROBE:R3:high,water_element_3,probe_r3__P11H__s44,0.858284206343294,0.17342650244152674,0.12051114593208179
S-PROBE:R3:high,water_element_4,probe_r3__P12H__s42,0.812967055379312,0.22996256087489145,0.1868218196367828
S-PROBE:R3:high,water_element_4,probe_r3__P12H__s43,0.886784798987944,0.22507697651591985,0.19005695631230196
