group,cls,clip_id,gini,offline,DR,d_frames,fit_rmse,lerp_rmse,gap_rel
GT:all-two-sided,water_bending,GT__water_bending_0,0.4098859150684604,0.5736080846202358,0.7054802911130715,104.0,0.0955286791545811,0.1362228937153728,0.6658252165656144
GT:all-two-sided,water_bending,GT__water_bending_1,0.5332112225857444,0.5071896023866536,0.5098558117741872,64.0,0.0480726543025053,0.1631948900357843,0.8248632037164427
GT:all-two-sided,water_bending,GT__water_bending_2,0.4673270496027084,0.7512628443218188,0.8463459963420827,80.0,0.0925857425155672,0.0935461113815272,0.7914746908464811
GT:all-two-sided,water_bending,GT__water_bending_3,0.4396760683074154,0.6607604721986854,0.6917515495081934,80.0,0.0895511250908842,0.1339596217289856,0.7056686503381455
S-GRID:NULLGEN,hero_flight_1,null_v2__hero_flight_1__s42,0.8374080859523954,0.2203317368000866,0.2040862265250053,8.0,0.0295239156507451,0.3151313249104298,0.7453279932075944
S-GRID:NULLGEN,hero_flight_1,null_v2__hero_flight_1__s43,0.821456568317914,0.2791123580812225,0.2573407160539156,5.0,0.0546624151350523,0.2605938024661799,0.7462595206692486
S-GRID:NULLGEN,shadow_smoke_2,null_v2__shadow_smoke_2__s42,0.8660942068201538,0.1393606825972453,0.1147767003727602,12.0,0.0211806229639006,0.2690118962126052,0.8340277490789706
S-GRID:NULLGEN,shadow_smoke_2,null_v2__shadow_smoke_2__s43,0.8909358577240409,0.1506235174485431,0.1112230465417375,8.0,0.0249277839129228,0.3945684537439767,0.8366467726885056
S-GRID:NULLGEN,hero_flight_5,null_v2__hero_flight_5__s42,0.9354889114027696,0.1718802790074166,0.1193495143092295,0.5,0.0317070228682813,0.4767494035178491,0.6802725093721909
S-GRID:NULLGEN,hero_flight_5,null_v2__hero_flight_5__s43,0.8769807829057734,0.2350933853645962,0.1140568209905811,12.0,0.046703474413585,0.4106367280769633,0.6779752176968514
S-GRID:NULLGEN,shadow_smoke_0,null_v2__shadow_smoke_0__s42,0.8481353917228724,0.3990069293382125,0.4251385159697299,32.0,0.1351133986179755,0.3337439380710134,0.556425514351414
S-GRID:NULLGEN,shadow_smoke_0,null_v2__shadow_smoke_0__s43,0.67841462016574,0.5029701179519008,0.479001704504437,32.0,0.1280217407374817,0.2579726264249111,0.5550243728409856
S-GRID:NULLGEN,hero_flight_6,null_v2__hero_flight_6__s42,0.66308826940052,0.399648485746805,0.4338955107250366,32.0,0.0857977926665941,0.3030750417267065,0.720943488960833
S-GRID:NULLGEN,hero_flight_6,null_v2__hero_flight_6__s43,0.6983267170374443,0.5401909270348579,0.5696726799151304,16.0,0.1369785184704576,0.3829704859044655,0.7185711261190155
S-GRID:NULLGEN,shadow_smoke_7,null_v2__shadow_smoke_7__s42,0.8830737517861325,0.3343447025933744,0.3814496983581878,8.0,0.0480773069553361,0.4237921201778136,0.9211660350040908
S-GRID:NULLGEN,shadow_smoke_7,null_v2__shadow_smoke_7__s43,0.8860169127758477,0.247587305300032,0.1043083995082016,32.0,0.09416367114244,0.3403640360067715,0.9218709383493096
S-GRID:NULLGEN,display_transition_1,null_v2__display_transition_1__s42,0.8632076598535083,0.2347346990435488,0.1901750178550767,0.5,0.0715596898323486,0.2507162491267007,0.8213604692083479
