space,group,key,s0,d_frames,rmse_fit,rmse_lerp,rmse_cut,rho_mean,rho_at_cross,nu_mean
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_12405668.humanvid_7539020__s42,0.37,5.0,0.0782652448448658,0.2274570196859914,0.0834960595491268,0.3060761280881603,0.654534448778587,0.3137310133690003
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_12405668.humanvid_7539020__s43,0.135,80.0,0.1749788176399036,0.1800349946224024,0.2517200169428942,0.4535445051711764,0.7544744190220702,0.4932683833736279
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_2402374.humanvid_7663067__s42,0.48,1.0,0.0126844699696271,0.2745715673617466,0.0132409746853316,0.1430015838414306,0.1703295762107782,0.1435828206856387
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_2402374.humanvid_7663067__s43,0.065,0.5,0.0148478878647261,0.4944922366249717,0.0148478878647261,0.1543390566189671,0.2476319084194505,0.1549301379981564
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_3795426.humanvid_7670221__s42,0.09,2.0,0.0455824181352958,0.4544413299181866,0.0472217589408539,0.2913432390318025,0.3926815895276759,0.2949923590641902
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_3795426.humanvid_7670221__s43,0.0,32.0,0.0974879120519298,0.3903552083822122,0.127214797116634,0.3458832479271069,0.7251642317371543,0.3590462704111081
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4058810.humanvid_7682587__s42,0.42,8.0,0.0335716116580751,0.252336919999416,0.0714868851615013,0.1948546109134438,0.2943181347608617,0.2004824994538836
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4058810.humanvid_7682587__s43,0.23,12.0,0.0348391844552176,0.3114872933954101,0.0746952456896244,0.2005413098134505,0.7584313766266934,0.2080600388661992
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4076737.humanvid_7707744__s42,0.09,2.0,0.0648578751038405,0.4262700457707209,0.0659967644111059,0.3199439794861838,0.4894122969601276,0.3255488897390975
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4076737.humanvid_7707744__s43,0.04,12.0,0.0642570001635182,0.4237584605028127,0.1065511135592667,0.3284735346156666,0.7836929269155684,0.3378890460823738
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4223661.humanvid_7772314__s42,0.235,0.5,0.0042537300669767,0.3793101510909052,0.0042537300669767,0.0725640420871798,0.225076951024818,0.072613959593292
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4223661.humanvid_7772314__s43,0.23,12.0,0.0267551320337989,0.3258931735591914,0.0583100708703777,0.1520951402365683,0.6245639846091586,0.1565635290389803
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4325522.humanvid_7776745__s42,0.375,32.0,0.0557462133054056,0.2079838606332857,0.1763708676940402,0.2291918565046412,0.8142864078720945,0.2519816976975859
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4325522.humanvid_7776745__s43,0.26,32.0,0.0808898016207686,0.2133133557704309,0.1099451654158757,0.2864026163071559,0.4589946830987603,0.2973975995513095
DINO,S-GRID-F:NULLGEN,gridF_v3__davis_blackswan_rhino__s42,0.635,12.0,0.0390394706272476,0.2917597066972857,0.0857240827874932,0.245156217043002,0.8620995535614089,0.2531035213842994
DINO,S-GRID-F:NULLGEN,gridF_v3__davis_blackswan_rhino__s43,0.595,5.0,0.0472938645537134,0.2616856316705022,0.0563222927759281,0.2270704017584429,0.5526776489533216,0.2317416323604693
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4457812.humanvid_7864986__s42,0.42,12.0,0.0435971095071946,0.2295511888346558,0.0847831674885592,0.2605101467860769,0.5224979842747455,0.2678469805870907
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4457812.humanvid_7864986__s43,0.615,12.0,0.0605015667165278,0.2593151809349478,0.1081018624850668,0.3343380088530937,0.7990173520230414,0.3436604691298374
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4650062.humanvid_7884019__s42,0.41,12.0,0.077477199860002,0.2137268099656048,0.0989298049963804,0.260749764537424,0.8341569207299392,0.2708809092796481
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4650062.humanvid_7884019__s43,0.275,3.0,0.1150003105565814,0.2410817891025458,0.1179610124834724,0.3728553223277323,0.6647182106007521,0.3855845825400516
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4734626.humanvid_7957231__s42,0.005,48.0,0.212489382310421,0.2461664269543541,0.2346641385674442,0.5615107981379551,0.6589903830476097,0.6025135970042281
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4734626.humanvid_7957231__s43,0.76,8.0,0.100142750060815,0.3159198243543988,0.1058093987265634,0.3936329014854522,0.6360123058786813,0.4076911603427081
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4873451.humanvid_7969628__s42,0.585,5.0,0.1175512976942314,0.1976188235658379,0.123140410855769,0.3658254787234595,0.2606296237157556,0.3791720517861239
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4873451.humanvid_7969628__s43,0.42,3.0,0.1000865118648667,0.2037467786652943,0.1023281497265434,0.3930447772219714,0.4983875937826617,0.4044855981506572
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_5124224.humanvid_7970355__s42,0.655,0.5,0.0379710408515966,0.2919788092817376,0.0379710408515966,0.2264960006369676,0.2096746710875927,0.229899617763561
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_5124224.humanvid_7970355__s43,0.405,24.0,0.0703054672620368,0.2102916534852101,0.1657282080671863,0.2407630154413073,0.1238592165022233,0.2607495294668538
DINO,S-GRID:GT,GT__air_bending_1,0.22,64.0,0.0434326067058912,0.102287998540831,0.2145900116744422,0.455281091481967,0.8532636562807953,0.4899426616372527
